name,member,plate,weld,bolt_group,a
FEP168,SWC 1000WB258 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,7x2 (70px140g) 35 M20 8.8/S (TI),100
FEP169,SWC 1000WB215 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,7x2 (70px140g) 35 M20 8.8/S (TI),100
FEP170,SWC 900WB282 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,7x2 (70px140g) 35 M20 8.8/S (TI),100
FEP171,SWC 900WB257 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,7x2 (70px140g) 35 M20 8.8/S (TI),100
FEP172,SWC 900WB218 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,7x2 (70px140g) 35 M20 8.8/S (TI),100
FEP173,SWC 900WB175 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,7x2 (70px140g) 35 M20 8.8/S (TI),100
FEP174,SWC 800WB192 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,7x2 (70px140g) 35 M20 8.8/S (TI),100
FEP175,SWC 800WB168 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,7x2 (70px140g) 35 M20 8.8/S (TI),100
FEP176,SWC 800WB146 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,7x2 (70px140g) 35 M20 8.8/S (TI),100
FEP177,SWC 800WB122 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,7x2 (70px140g) 35 M20 8.8/S (TI),100
FEP178,SWC 700WB173 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,7x2 (70px140g) 35 M20 8.8/S (TI),100
FEP179,SWC 700WB150 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,7x2 (70px140g) 35 M20 8.8/S (TI),100
FEP180,SWC 700WB130 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,7x2 (70px140g) 35 M20 8.8/S (TI),100
FEP181,SWC 700WB115 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,7x2 (70px140g) 35 M20 8.8/S (TI),100
FEP182,SWC 610UB125 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,7x2 (70px140g) 35 M20 8.8/S (TI),100
FEP183,SWC 610UB113 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,7x2 (70px140g) 35 M20 8.8/S (TI),100
FEP184,SWC 610UB101 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,7x2 (70px140g) 35 M20 8.8/S (TI),100
FEP185,SWC 800WB192 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,6x2 (70px140g) 35 M20 8.8/S (TI),100
FEP186,SWC 800WB168 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,6x2 (70px140g) 35 M20 8.8/S (TI),100
FEP187,SWC 800WB146 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,6x2 (70px140g) 35 M20 8.8/S (TI),100
FEP188,SWC 800WB122 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,6x2 (70px140g) 35 M20 8.8/S (TI),100
FEP189,SWC 700WB173 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,6x2 (70px140g) 35 M20 8.8/S (TI),100
FEP190,SWC 700WB150 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,6x2 (70px140g) 35 M20 8.8/S (TI),100
FEP191,SWC 700WB130 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,6x2 (70px140g) 35 M20 8.8/S (TI),100
FEP192,SWC 700WB115 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,6x2 (70px140g) 35 M20 8.8/S (TI),100
FEP193,SWC 610UB125 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,6x2 (70px140g) 35 M20 8.8/S (TI),100
FEP194,SWC 610UB113 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,6x2 (70px140g) 35 M20 8.8/S (TI),100
FEP195,SWC 610UB101 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,6x2 (70px140g) 35 M20 8.8/S (TI),100
FEP196,SWC 530UB92.4 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,6x2 (70px140g) 35 M20 8.8/S (TI),100
FEP197,SWC 530UB82.0 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,6x2 (70px140g) 35 M20 8.8/S (TI),100
FEP198,SWC 700WB173 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,5x2 (70px140g) 35 M20 8.8/S (TI),100
FEP199,SWC 700WB150 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,5x2 (70px140g) 35 M20 8.8/S (TI),100
FEP200,SWC 700WB130 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,5x2 (70px140g) 35 M20 8.8/S (TI),100
FEP201,SWC 700WB115 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,5x2 (70px140g) 35 M20 8.8/S (TI),100
